,ECG I,ECG I filtered
0 days 00:00:01.278000,-0.005,-0.02
0 days 00:00:01.280000,-0.005,-0.02
0 days 00:00:01.282000,-0.015,-0.02
0 days 00:00:01.284000,-0.02,-0.025
0 days 00:00:01.286000,-0.025,-0.025
0 days 00:00:01.288000,-0.025,-0.03
0 days 00:00:01.290000,-0.01,-0.03
0 days 00:00:01.292000,0.005,-0.035
0 days 00:00:01.294000,0.015,-0.035
0 days 00:00:01.296000,0.02,-0.035
0 days 00:00:01.298000,0.015,-0.03
0 days 00:00:01.300000,0.005,-0.03
0 days 00:00:01.302000,0.005,-0.025
0 days 00:00:01.304000,0.0,-0.015
0 days 00:00:01.306000,0.0,-0.01
0 days 00:00:01.308000,0.0,-0.005
0 days 00:00:01.310000,0.0,0.0
0 days 00:00:01.312000,0.005,0.0
0 days 00:00:01.314000,0.02,0.0
0 days 00:00:01.316000,0.03,0.0
0 days 00:00:01.318000,0.02,-0.005
0 days 00:00:01.320000,-0.01,-0.01
0 days 00:00:01.322000,-0.025,-0.015
0 days 00:00:01.324000,-0.035,-0.02
0 days 00:00:01.326000,-0.055,-0.025
0 days 00:00:01.328000,-0.05,-0.03
0 days 00:00:01.330000,-0.045,-0.035
0 days 00:00:01.332000,-0.04,-0.04
0 days 00:00:01.334000,-0.045,-0.045
0 days 00:00:01.336000,-0.025,-0.055
0 days 00:00:01.338000,-0.035,-0.06
0 days 00:00:01.340000,-0.06,-0.07
0 days 00:00:01.342000,-0.06,-0.075
0 days 00:00:01.344000,-0.07,-0.08
0 days 00:00:01.346000,-0.08,-0.08
0 days 00:00:01.348000,-0.065,-0.08
0 days 00:00:01.350000,-0.055,-0.08
0 days 00:00:01.352000,-0.05,-0.075
0 days 00:00:01.354000,-0.05,-0.075
0 days 00:00:01.356000,-0.035,-0.075
0 days 00:00:01.358000,-0.055,-0.075
0 days 00:00:01.360000,-0.055,-0.075
0 days 00:00:01.362000,-0.06,-0.075
0 days 00:00:01.364000,-0.065,-0.075
0 days 00:00:01.366000,-0.065,-0.075
0 days 00:00:01.368000,-0.06,-0.075
0 days 00:00:01.370000,-0.065,-0.075
0 days 00:00:01.372000,-0.065,-0.075
0 days 00:00:01.374000,-0.065,-0.075
0 days 00:00:01.376000,-0.065,-0.08
0 days 00:00:01.378000,-0.065,-0.08
0 days 00:00:01.380000,-0.08,-0.085
0 days 00:00:01.382000,-0.085,-0.09
0 days 00:00:01.384000,-0.08,-0.095
0 days 00:00:01.386000,-0.1,-0.095
0 days 00:00:01.388000,-0.09,-0.095
0 days 00:00:01.390000,-0.08,-0.095
0 days 00:00:01.392000,-0.06,-0.09
0 days 00:00:01.394000,-0.045,-0.085
0 days 00:00:01.396000,-0.045,-0.085
0 days 00:00:01.398000,-0.055,-0.085
0 days 00:00:01.400000,-0.06,-0.085
0 days 00:00:01.402000,-0.085,-0.09
0 days 00:00:01.404000,-0.085,-0.095
0 days 00:00:01.406000,-0.1,-0.1
0 days 00:00:01.408000,-0.1,-0.105
0 days 00:00:01.410000,-0.08,-0.105
0 days 00:00:01.412000,-0.075,-0.105
0 days 00:00:01.414000,-0.07,-0.105
0 days 00:00:01.416000,-0.075,-0.105
0 days 00:00:01.418000,-0.095,-0.105
0 days 00:00:01.420000,-0.105,-0.11
0 days 00:00:01.422000,-0.115,-0.115
0 days 00:00:01.424000,-0.14,-0.125
0 days 00:00:01.426000,-0.155,-0.13
0 days 00:00:01.428000,-0.135,-0.13
0 days 00:00:01.430000,-0.105,-0.12
0 days 00:00:01.432000,-0.045,-0.095
0 days 00:00:01.434000,0.02,-0.055
0 days 00:00:01.436000,0.075,-0.005
0 days 00:00:01.438000,0.125,0.06
0 days 00:00:01.440000,0.17,0.14
0 days 00:00:01.442000,0.225,0.225
0 days 00:00:01.444000,0.275,0.31
0 days 00:00:01.446000,0.39,0.395
0 days 00:00:01.448000,0.515,0.47
0 days 00:00:01.450000,0.64,0.53
0 days 00:00:01.452000,0.69,0.575
0 days 00:00:01.454000,0.66,0.595
0 days 00:00:01.456000,0.615,0.59
0 days 00:00:01.458000,0.555,0.555
0 days 00:00:01.460000,0.485,0.495
0 days 00:00:01.462000,0.39,0.41
0 days 00:00:01.464000,0.305,0.31
0 days 00:00:01.466000,0.195,0.2
0 days 00:00:01.468000,0.085,0.085
0 days 00:00:01.470000,-0.03,-0.015
0 days 00:00:01.472000,-0.115,-0.095
0 days 00:00:01.474000,-0.155,-0.15
0 days 00:00:01.476000,-0.145,-0.18
0 days 00:00:01.478000,-0.125,-0.185
0 days 00:00:01.480000,-0.115,-0.17
0 days 00:00:01.482000,-0.11,-0.14
0 days 00:00:01.484000,-0.085,-0.11
0 days 00:00:01.486000,-0.05,-0.08
0 days 00:00:01.488000,-0.055,-0.06
0 days 00:00:01.490000,-0.03,-0.055
0 days 00:00:01.492000,-0.035,-0.055
0 days 00:00:01.494000,-0.045,-0.065
0 days 00:00:01.496000,-0.04,-0.075
0 days 00:00:01.498000,-0.04,-0.085
0 days 00:00:01.500000,-0.065,-0.095
0 days 00:00:01.502000,-0.07,-0.1
0 days 00:00:01.504000,-0.08,-0.1
0 days 00:00:01.506000,-0.075,-0.095
0 days 00:00:01.508000,-0.07,-0.09
0 days 00:00:01.510000,-0.06,-0.085
0 days 00:00:01.512000,-0.05,-0.085
0 days 00:00:01.514000,-0.03,-0.08
0 days 00:00:01.516000,-0.045,-0.08
0 days 00:00:01.518000,-0.045,-0.08
0 days 00:00:01.520000,-0.055,-0.08
0 days 00:00:01.522000,-0.06,-0.08
0 days 00:00:01.524000,-0.055,-0.08
0 days 00:00:01.526000,-0.06,-0.075
0 days 00:00:01.528000,-0.04,-0.07
0 days 00:00:01.530000,-0.035,-0.07
0 days 00:00:01.532000,-0.025,-0.065
0 days 00:00:01.534000,-0.01,-0.065
0 days 00:00:01.536000,-0.025,-0.065
0 days 00:00:01.538000,-0.045,-0.07
0 days 00:00:01.540000,-0.05,-0.07
0 days 00:00:01.542000,-0.055,-0.07
0 days 00:00:01.544000,-0.05,-0.065
0 days 00:00:01.546000,-0.055,-0.065
0 days 00:00:01.548000,-0.03,-0.06
0 days 00:00:01.550000,-0.025,-0.055
0 days 00:00:01.552000,-0.02,-0.05
0 days 00:00:01.554000,-0.01,-0.045
0 days 00:00:01.556000,-0.01,-0.045
0 days 00:00:01.558000,-0.02,-0.04
0 days 00:00:01.560000,-0.03,-0.04
0 days 00:00:01.562000,-0.025,-0.035
0 days 00:00:01.564000,-0.02,-0.035
0 days 00:00:01.566000,-0.015,-0.03
0 days 00:00:01.568000,0.005,-0.025
0 days 00:00:01.570000,0.02,-0.025
0 days 00:00:01.572000,0.025,-0.02
0 days 00:00:01.574000,0.025,-0.015
0 days 00:00:01.576000,0.015,-0.015
0 days 00:00:01.578000,0.005,-0.015
0 days 00:00:01.580000,-0.01,-0.015
0 days 00:00:01.582000,-0.01,-0.02
0 days 00:00:01.584000,-0.01,-0.02
0 days 00:00:01.586000,0.01,-0.02
0 days 00:00:01.588000,0.015,-0.02
0 days 00:00:01.590000,0.025,-0.02
0 days 00:00:01.592000,0.045,-0.015
0 days 00:00:01.594000,0.06,-0.01
0 days 00:00:01.596000,0.065,-0.005
0 days 00:00:01.598000,0.05,0.005
0 days 00:00:01.600000,0.04,0.01
0 days 00:00:01.602000,0.045,0.015
0 days 00:00:01.604000,0.04,0.02
0 days 00:00:01.606000,0.045,0.02
0 days 00:00:01.608000,0.045,0.02
0 days 00:00:01.610000,0.06,0.02
0 days 00:00:01.612000,0.065,0.02
0 days 00:00:01.614000,0.07,0.015
0 days 00:00:01.616000,0.065,0.015
0 days 00:00:01.618000,0.065,0.01
0 days 00:00:01.620000,0.065,0.01
0 days 00:00:01.622000,0.065,0.015
0 days 00:00:01.624000,0.075,0.02
0 days 00:00:01.626000,0.08,0.025
0 days 00:00:01.628000,0.1,0.035
0 days 00:00:01.630000,0.115,0.045
0 days 00:00:01.632000,0.125,0.06
0 days 00:00:01.634000,0.13,0.07
0 days 00:00:01.636000,0.14,0.075
0 days 00:00:01.638000,0.14,0.085
0 days 00:00:01.640000,0.15,0.09
0 days 00:00:01.642000,0.135,0.095
0 days 00:00:01.644000,0.13,0.1
0 days 00:00:01.646000,0.14,0.105
0 days 00:00:01.648000,0.17,0.11
0 days 00:00:01.650000,0.175,0.115
0 days 00:00:01.652000,0.19,0.125
0 days 00:00:01.654000,0.2,0.13
0 days 00:00:01.656000,0.205,0.14
0 days 00:00:01.658000,0.19,0.145
0 days 00:00:01.660000,0.2,0.155
0 days 00:00:01.662000,0.2,0.16
0 days 00:00:01.664000,0.195,0.16
0 days 00:00:01.666000,0.21,0.165
0 days 00:00:01.668000,0.225,0.165
0 days 00:00:01.670000,0.235,0.165
0 days 00:00:01.672000,0.23,0.17
0 days 00:00:01.674000,0.24,0.175
0 days 00:00:01.676000,0.225,0.175
0 days 00:00:01.678000,0.225,0.175
0 days 00:00:01.680000,0.205,0.175
0 days 00:00:01.682000,0.2,0.175
0 days 00:00:01.684000,0.19,0.17
0 days 00:00:01.686000,0.19,0.165
0 days 00:00:01.688000,0.205,0.155
0 days 00:00:01.690000,0.205,0.15
0 days 00:00:01.692000,0.22,0.145
0 days 00:00:01.694000,0.23,0.14
0 days 00:00:01.696000,0.205,0.14
0 days 00:00:01.698000,0.195,0.14
0 days 00:00:01.700000,0.175,0.14
0 days 00:00:01.702000,0.165,0.14
0 days 00:00:01.704000,0.155,0.135
0 days 00:00:01.706000,0.15,0.13
0 days 00:00:01.708000,0.14,0.12
0 days 00:00:01.710000,0.135,0.11
0 days 00:00:01.712000,0.13,0.09
0 days 00:00:01.714000,0.11,0.075
0 days 00:00:01.716000,0.105,0.06
0 days 00:00:01.718000,0.085,0.045
0 days 00:00:01.720000,0.075,0.035
0 days 00:00:01.722000,0.065,0.03
0 days 00:00:01.724000,0.06,0.03
0 days 00:00:01.726000,0.065,0.025
0 days 00:00:01.728000,0.06,0.025
0 days 00:00:01.730000,0.06,0.02
0 days 00:00:01.732000,0.05,0.02
0 days 00:00:01.734000,0.045,0.01
0 days 00:00:01.736000,0.04,0.0
0 days 00:00:01.738000,0.02,-0.01
0 days 00:00:01.740000,0.01,-0.02
0 days 00:00:01.742000,0.0,-0.03
0 days 00:00:01.744000,0.0,-0.035
0 days 00:00:01.746000,0.01,-0.04
0 days 00:00:01.748000,0.015,-0.045
0 days 00:00:01.750000,0.01,-0.045
0 days 00:00:01.752000,0.02,-0.045
0 days 00:00:01.754000,0.01,-0.045
0 days 00:00:01.756000,0.0,-0.05
0 days 00:00:01.758000,-0.02,-0.05
0 days 00:00:01.760000,-0.02,-0.055
0 days 00:00:01.762000,-0.04,-0.06
0 days 00:00:01.764000,-0.035,-0.06
0 days 00:00:01.766000,-0.025,-0.065
0 days 00:00:01.768000,-0.015,-0.065
0 days 00:00:01.770000,-0.005,-0.07
0 days 00:00:01.772000,0.005,-0.07
0 days 00:00:01.774000,-0.005,-0.065
0 days 00:00:01.776000,-0.02,-0.065
0 days 00:00:01.778000,-0.025,-0.06
0 days 00:00:01.780000,-0.025,-0.06
0 days 00:00:01.782000,-0.025,-0.06
0 days 00:00:01.784000,-0.025,-0.055
0 days 00:00:01.786000,-0.025,-0.055
0 days 00:00:01.788000,-0.01,-0.06
0 days 00:00:01.790000,0.005,-0.06
0 days 00:00:01.792000,0.015,-0.06
0 days 00:00:01.794000,0.01,-0.06
0 days 00:00:01.796000,0.005,-0.06
0 days 00:00:01.798000,-0.02,-0.06
0 days 00:00:01.800000,-0.015,-0.065
0 days 00:00:01.802000,-0.015,-0.065
0 days 00:00:01.804000,-0.02,-0.065
0 days 00:00:01.806000,-0.025,-0.065
0 days 00:00:01.808000,-0.02,-0.065
0 days 00:00:01.810000,-0.02,-0.07
0 days 00:00:01.812000,0.0,-0.07
0 days 00:00:01.814000,0.015,-0.07
0 days 00:00:01.816000,-0.005,-0.075
0 days 00:00:01.818000,-0.01,-0.075
0 days 00:00:01.820000,-0.02,-0.08
0 days 00:00:01.822000,-0.03,-0.085
0 days 00:00:01.824000,-0.03,-0.09
0 days 00:00:01.826000,-0.015,-0.09
0 days 00:00:01.828000,0.0,-0.095
0 days 00:00:01.830000,0.01,-0.095
0 days 00:00:01.832000,0.015,-0.095
0 days 00:00:01.834000,0.015,-0.09
0 days 00:00:01.836000,-0.005,-0.085
0 days 00:00:01.838000,-0.01,-0.08
0 days 00:00:01.840000,-0.035,-0.075
0 days 00:00:01.842000,-0.025,-0.07
0 days 00:00:01.844000,-0.025,-0.065
0 days 00:00:01.846000,-0.02,-0.065
0 days 00:00:01.848000,0.005,-0.065
0 days 00:00:01.850000,0.015,-0.065
0 days 00:00:01.852000,0.02,-0.065
0 days 00:00:01.854000,0.025,-0.07
0 days 00:00:01.856000,0.0,-0.07
0 days 00:00:01.858000,-0.01,-0.07
0 days 00:00:01.860000,-0.025,-0.065
0 days 00:00:01.862000,-0.035,-0.065
0 days 00:00:01.864000,-0.02,-0.06
0 days 00:00:01.866000,-0.01,-0.06
0 days 00:00:01.868000,0.005,-0.055
0 days 00:00:01.870000,0.005,-0.055
0 days 00:00:01.872000,0.01,-0.06
0 days 00:00:01.874000,0.015,-0.06
0 days 00:00:01.876000,0.0,-0.065
0 days 00:00:01.878000,-0.005,-0.065
0 days 00:00:01.880000,-0.02,-0.07
0 days 00:00:01.882000,-0.025,-0.07
0 days 00:00:01.884000,-0.025,-0.075
0 days 00:00:01.886000,-0.015,-0.075
0 days 00:00:01.888000,0.0,-0.075
0 days 00:00:01.890000,0.005,-0.075
0 days 00:00:01.892000,0.015,-0.075
0 days 00:00:01.894000,0.02,-0.075
0 days 00:00:01.896000,0.0,-0.075
0 days 00:00:01.898000,-0.015,-0.075
0 days 00:00:01.900000,-0.02,-0.075
0 days 00:00:01.902000,-0.03,-0.08
0 days 00:00:01.904000,-0.025,-0.08
0 days 00:00:01.906000,-0.005,-0.08
0 days 00:00:01.908000,-0.005,-0.08
0 days 00:00:01.910000,0.0,-0.08
0 days 00:00:01.912000,0.01,-0.08
0 days 00:00:01.914000,0.015,-0.08
0 days 00:00:01.916000,0.005,-0.08
0 days 00:00:01.918000,-0.01,-0.08
0 days 00:00:01.920000,-0.015,-0.08
0 days 00:00:01.922000,-0.02,-0.08
0 days 00:00:01.924000,-0.015,-0.08
0 days 00:00:01.926000,-0.005,-0.085
0 days 00:00:01.928000,-0.005,-0.085
0 days 00:00:01.930000,-0.005,-0.085
0 days 00:00:01.932000,-0.01,-0.085
0 days 00:00:01.934000,-0.01,-0.09
0 days 00:00:01.936000,-0.01,-0.09
0 days 00:00:01.938000,-0.015,-0.095
0 days 00:00:01.940000,-0.025,-0.095
0 days 00:00:01.942000,-0.025,-0.1
0 days 00:00:01.944000,-0.02,-0.1
0 days 00:00:01.946000,-0.01,-0.1
0 days 00:00:01.948000,-0.01,-0.1
0 days 00:00:01.950000,-0.005,-0.1
0 days 00:00:01.952000,-0.005,-0.1
0 days 00:00:01.954000,-0.01,-0.1
0 days 00:00:01.956000,-0.025,-0.1
0 days 00:00:01.958000,-0.025,-0.1
0 days 00:00:01.960000,-0.025,-0.1
0 days 00:00:01.962000,-0.035,-0.105
0 days 00:00:01.964000,-0.03,-0.105
0 days 00:00:01.966000,-0.02,-0.11
0 days 00:00:01.968000,-0.01,-0.11
0 days 00:00:01.970000,-0.005,-0.11
0 days 00:00:01.972000,-0.01,-0.115
0 days 00:00:01.974000,-0.015,-0.115
0 days 00:00:01.976000,-0.025,-0.115
0 days 00:00:01.978000,-0.03,-0.115
0 days 00:00:01.980000,-0.035,-0.115
0 days 00:00:01.982000,-0.04,-0.115
0 days 00:00:01.984000,-0.025,-0.115
0 days 00:00:01.986000,-0.02,-0.115
0 days 00:00:01.988000,-0.015,-0.115
0 days 00:00:01.990000,-0.005,-0.11
0 days 00:00:01.992000,0.0,-0.11
0 days 00:00:01.994000,-0.01,-0.11
0 days 00:00:01.996000,-0.025,-0.105
0 days 00:00:01.998000,-0.03,-0.105
0 days 00:00:02,-0.045,-0.105
0 days 00:00:02.002000,-0.045,-0.11
0 days 00:00:02.004000,-0.045,-0.11
0 days 00:00:02.006000,-0.035,-0.115
0 days 00:00:02.008000,-0.04,-0.12
0 days 00:00:02.010000,-0.025,-0.12
0 days 00:00:02.012000,-0.01,-0.125
0 days 00:00:02.014000,-0.025,-0.12
0 days 00:00:02.016000,-0.04,-0.12
0 days 00:00:02.018000,-0.04,-0.11
0 days 00:00:02.020000,-0.03,-0.105
0 days 00:00:02.022000,-0.035,-0.1
0 days 00:00:02.024000,-0.04,-0.095
0 days 00:00:02.026000,-0.025,-0.09
0 days 00:00:02.028000,-0.02,-0.095
0 days 00:00:02.030000,-0.015,-0.1
0 days 00:00:02.032000,-0.005,-0.105
0 days 00:00:02.034000,-0.01,-0.11
0 days 00:00:02.036000,-0.025,-0.115
0 days 00:00:02.038000,-0.04,-0.12
0 days 00:00:02.040000,-0.045,-0.12
0 days 00:00:02.042000,-0.04,-0.12
0 days 00:00:02.044000,-0.02,-0.12
0 days 00:00:02.046000,-0.015,-0.115
0 days 00:00:02.048000,-0.01,-0.115
0 days 00:00:02.050000,0.0,-0.115
0 days 00:00:02.052000,-0.005,-0.115
0 days 00:00:02.054000,-0.01,-0.11
0 days 00:00:02.056000,-0.01,-0.11
0 days 00:00:02.058000,-0.015,-0.105
0 days 00:00:02.060000,0.0,-0.095
0 days 00:00:02.062000,0.01,-0.085
0 days 00:00:02.064000,0.025,-0.07
0 days 00:00:02.066000,0.065,-0.055
0 days 00:00:02.068000,0.07,-0.04
0 days 00:00:02.070000,0.085,-0.025
0 days 00:00:02.072000,0.1,-0.01
0 days 00:00:02.074000,0.1,0.0
0 days 00:00:02.076000,0.09,0.005
0 days 00:00:02.078000,0.09,0.01
0 days 00:00:02.080000,0.095,0.015
0 days 00:00:02.082000,0.085,0.015
0 days 00:00:02.084000,0.1,0.015
0 days 00:00:02.086000,0.105,0.015
0 days 00:00:02.088000,0.11,0.02
0 days 00:00:02.090000,0.12,0.02
0 days 00:00:02.092000,0.125,0.025
0 days 00:00:02.094000,0.13,0.03
0 days 00:00:02.096000,0.145,0.04
0 days 00:00:02.098000,0.155,0.045
0 days 00:00:02.100000,0.145,0.05
0 days 00:00:02.102000,0.135,0.06
0 days 00:00:02.104000,0.15,0.065
0 days 00:00:02.106000,0.165,0.07
0 days 00:00:02.108000,0.18,0.075
0 days 00:00:02.110000,0.185,0.08
0 days 00:00:02.112000,0.175,0.08
0 days 00:00:02.114000,0.17,0.08
0 days 00:00:02.116000,0.165,0.085
0 days 00:00:02.118000,0.175,0.085
0 days 00:00:02.120000,0.17,0.085
0 days 00:00:02.122000,0.16,0.085
0 days 00:00:02.124000,0.17,0.08
0 days 00:00:02.126000,0.17,0.08
0 days 00:00:02.128000,0.17,0.08
0 days 00:00:02.130000,0.165,0.075
0 days 00:00:02.132000,0.16,0.075
0 days 00:00:02.134000,0.15,0.07
0 days 00:00:02.136000,0.135,0.065
0 days 00:00:02.138000,0.115,0.065
0 days 00:00:02.140000,0.115,0.06
0 days 00:00:02.142000,0.105,0.055
0 days 00:00:02.144000,0.11,0.055
0 days 00:00:02.146000,0.12,0.05
0 days 00:00:02.148000,0.125,0.045
0 days 00:00:02.150000,0.13,0.04
0 days 00:00:02.152000,0.14,0.04
0 days 00:00:02.154000,0.125,0.035
0 days 00:00:02.156000,0.125,0.03
0 days 00:00:02.158000,0.12,0.03
0 days 00:00:02.160000,0.11,0.03
0 days 00:00:02.162000,0.095,0.03
0 days 00:00:02.164000,0.095,0.03
0 days 00:00:02.166000,0.095,0.035
0 days 00:00:02.168000,0.105,0.035
0 days 00:00:02.170000,0.115,0.035
0 days 00:00:02.172000,0.12,0.035
0 days 00:00:02.174000,0.105,0.03
0 days 00:00:02.176000,0.095,0.025
0 days 00:00:02.178000,0.08,0.02
0 days 00:00:02.180000,0.075,0.015
0 days 00:00:02.182000,0.075,0.01
0 days 00:00:02.184000,0.09,0.005
0 days 00:00:02.186000,0.11,0.0
0 days 00:00:02.188000,0.115,-0.005
0 days 00:00:02.190000,0.12,-0.005
0 days 00:00:02.192000,0.125,-0.005
0 days 00:00:02.194000,0.095,-0.005
0 days 00:00:02.196000,0.08,-0.005
0 days 00:00:02.198000,0.07,0.0
0 days 00:00:02.200000,0.06,0.0
0 days 00:00:02.202000,0.085,0.005
0 days 00:00:02.204000,0.1,0.005
0 days 00:00:02.206000,0.1,0.01
0 days 00:00:02.208000,0.105,0.01
0 days 00:00:02.210000,0.115,0.005
0 days 00:00:02.212000,0.105,0.005
0 days 00:00:02.214000,0.095,0.005
0 days 00:00:02.216000,0.085,0.0
0 days 00:00:02.218000,0.075,0.0
0 days 00:00:02.220000,0.07,0.0
0 days 00:00:02.222000,0.08,0.0
0 days 00:00:02.224000,0.075,-0.005
0 days 00:00:02.226000,0.08,-0.005
0 days 00:00:02.228000,0.09,-0.005
0 days 00:00:02.230000,0.08,-0.01
0 days 00:00:02.232000,0.09,-0.02
0 days 00:00:02.234000,0.055,-0.025
0 days 00:00:02.236000,0.045,-0.035
0 days 00:00:02.238000,0.02,-0.04
0 days 00:00:02.240000,0.02,-0.045
0 days 00:00:02.242000,0.04,-0.04
0 days 00:00:02.244000,0.07,-0.025
0 days 00:00:02.246000,0.115,0.0
0 days 00:00:02.248000,0.175,0.04
0 days 00:00:02.250000,0.235,0.09
0 days 00:00:02.252000,0.28,0.155
0 days 00:00:02.254000,0.325,0.23
0 days 00:00:02.256000,0.385,0.31
0 days 00:00:02.258000,0.445,0.4
0 days 00:00:02.260000,0.555,0.49
0 days 00:00:02.262000,0.68,0.575
0 days 00:00:02.264000,0.82,0.65
0 days 00:00:02.266000,0.89,0.705
0 days 00:00:02.268000,0.86,0.735
0 days 00:00:02.270000,0.84,0.735
0 days 00:00:02.272000,0.775,0.705
0 days 00:00:02.274000,0.695,0.64
0 days 00:00:02.276000,0.595,0.55
0 days 00:00:02.278000,0.505,0.44
0 days 00:00:02.280000,0.395,0.32
0 days 00:00:02.282000,0.265,0.205
0 days 00:00:02.284000,0.155,0.1
0 days 00:00:02.286000,0.05,0.015
0 days 00:00:02.288000,0.01,-0.045
0 days 00:00:02.290000,0.035,-0.075
0 days 00:00:02.292000,0.04,-0.085
0 days 00:00:02.294000,0.04,-0.075
0 days 00:00:02.296000,0.055,-0.055
0 days 00:00:02.298000,0.06,-0.035
0 days 00:00:02.300000,0.075,-0.01
0 days 00:00:02.302000,0.095,0.005
0 days 00:00:02.304000,0.12,0.01
0 days 00:00:02.306000,0.13,0.015
0 days 00:00:02.308000,0.125,0.015
0 days 00:00:02.310000,0.13,0.015
0 days 00:00:02.312000,0.12,0.015
0 days 00:00:02.314000,0.105,0.02
0 days 00:00:02.316000,0.09,0.025
0 days 00:00:02.318000,0.085,0.03
0 days 00:00:02.320000,0.09,0.03
0 days 00:00:02.322000,0.105,0.035
0 days 00:00:02.324000,0.11,0.035
0 days 00:00:02.326000,0.11,0.03
0 days 00:00:02.328000,0.12,0.025
0 days 00:00:02.330000,0.13,0.02
0 days 00:00:02.332000,0.125,0.015
0 days 00:00:02.334000,0.11,0.01
0 days 00:00:02.336000,0.09,0.01
0 days 00:00:02.338000,0.075,0.015
0 days 00:00:02.340000,0.08,0.02
0 days 00:00:02.342000,0.095,0.025
0 days 00:00:02.344000,0.115,0.03
0 days 00:00:02.346000,0.115,0.03
0 days 00:00:02.348000,0.115,0.035
0 days 00:00:02.350000,0.14,0.03
0 days 00:00:02.352000,0.11,0.03
0 days 00:00:02.354000,0.1,0.025
0 days 00:00:02.356000,0.095,0.025
0 days 00:00:02.358000,0.085,0.025
0 days 00:00:02.360000,0.1,0.02
0 days 00:00:02.362000,0.12,0.02
0 days 00:00:02.364000,0.13,0.02
0 days 00:00:02.366000,0.135,0.02
0 days 00:00:02.368000,0.14,0.02
0 days 00:00:02.370000,0.145,0.02
0 days 00:00:02.372000,0.13,0.02
0 days 00:00:02.374000,0.115,0.02
0 days 00:00:02.376000,0.11,0.02
0 days 00:00:02.378000,0.105,0.02
0 days 00:00:02.380000,0.11,0.025
0 days 00:00:02.382000,0.13,0.025
0 days 00:00:02.384000,0.14,0.03
0 days 00:00:02.386000,0.15,0.035
0 days 00:00:02.388000,0.155,0.04
0 days 00:00:02.390000,0.165,0.04
0 days 00:00:02.392000,0.135,0.045
0 days 00:00:02.394000,0.115,0.045
0 days 00:00:02.396000,0.11,0.045
0 days 00:00:02.398000,0.115,0.045
0 days 00:00:02.400000,0.11,0.045
0 days 00:00:02.402000,0.13,0.04
0 days 00:00:02.404000,0.135,0.04
0 days 00:00:02.406000,0.14,0.04
0 days 00:00:02.408000,0.155,0.045
0 days 00:00:02.410000,0.165,0.045
0 days 00:00:02.412000,0.16,0.045
0 days 00:00:02.414000,0.15,0.05
0 days 00:00:02.416000,0.145,0.05
0 days 00:00:02.418000,0.145,0.05
0 days 00:00:02.420000,0.135,0.055
0 days 00:00:02.422000,0.14,0.055
0 days 00:00:02.424000,0.165,0.06
0 days 00:00:02.426000,0.17,0.065
0 days 00:00:02.428000,0.175,0.07
0 days 00:00:02.430000,0.17,0.075
0 days 00:00:02.432000,0.17,0.08
0 days 00:00:02.434000,0.165,0.085
0 days 00:00:02.436000,0.175,0.09
0 days 00:00:02.438000,0.16,0.09
0 days 00:00:02.440000,0.165,0.095
0 days 00:00:02.442000,0.18,0.095
0 days 00:00:02.444000,0.21,0.095
0 days 00:00:02.446000,0.215,0.1
0 days 00:00:02.448000,0.225,0.105
0 days 00:00:02.450000,0.225,0.11
0 days 00:00:02.452000,0.215,0.12
0 days 00:00:02.454000,0.21,0.13
0 days 00:00:02.456000,0.22,0.14
0 days 00:00:02.458000,0.2,0.15
0 days 00:00:02.460000,0.225,0.165
0 days 00:00:02.462000,0.25,0.17
0 days 00:00:02.464000,0.255,0.18
0 days 00:00:02.466000,0.26,0.185
0 days 00:00:02.468000,0.27,0.185
0 days 00:00:02.470000,0.27,0.19
0 days 00:00:02.472000,0.27,0.19
0 days 00:00:02.474000,0.265,0.19
0 days 00:00:02.476000,0.265,0.19
0 days 00:00:02.478000,0.25,0.19
0 days 00:00:02.480000,0.265,0.195
0 days 00:00:02.482000,0.265,0.2
0 days 00:00:02.484000,0.28,0.205
0 days 00:00:02.486000,0.295,0.205
0 days 00:00:02.488000,0.295,0.21
0 days 00:00:02.490000,0.29,0.215
0 days 00:00:02.492000,0.29,0.215
0 days 00:00:02.494000,0.285,0.215
0 days 00:00:02.496000,0.28,0.21
0 days 00:00:02.498000,0.26,0.205
0 days 00:00:02.500000,0.26,0.2
0 days 00:00:02.502000,0.255,0.195
0 days 00:00:02.504000,0.26,0.19
0 days 00:00:02.506000,0.26,0.185
0 days 00:00:02.508000,0.27,0.185
0 days 00:00:02.510000,0.26,0.18
0 days 00:00:02.512000,0.235,0.175
0 days 00:00:02.514000,0.22,0.17
0 days 00:00:02.516000,0.19,0.16
0 days 00:00:02.518000,0.17,0.15
0 days 00:00:02.520000,0.17,0.135
0 days 00:00:02.522000,0.15,0.12
0 days 00:00:02.524000,0.155,0.105
0 days 00:00:02.526000,0.16,0.09
0 days 00:00:02.528000,0.15,0.075
0 days 00:00:02.530000,0.13,0.065
0 days 00:00:02.532000,0.12,0.055
0 days 00:00:02.534000,0.095,0.05
0 days 00:00:02.536000,0.095,0.045
0 days 00:00:02.538000,0.075,0.045
0 days 00:00:02.540000,0.08,0.04
0 days 00:00:02.542000,0.075,0.03
0 days 00:00:02.544000,0.075,0.025
0 days 00:00:02.546000,0.065,0.015
0 days 00:00:02.548000,0.065,0.005
0 days 00:00:02.550000,0.035,-0.005
0 days 00:00:02.552000,0.03,-0.015
0 days 00:00:02.554000,0.02,-0.02
